@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:08:32 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591888130608,-0.433482,-0.665694,0.604836,0.4604597,-11.907842,-0.9587376
1591888130630,-0.4453,-0.656525,0.606998,6.112605,-11.277278,-2.8172617
1591888130651,-0.45486,-0.642283,0.615191,2.1629007,-11.269635,-3.739138
1591888130678,-0.458444,-0.635651,0.619232,-5.283273,-9.798528,-1.8467352
1591888130701,-0.463545,-0.629818,0.621268,-7.744992,-6.971183,-6.0102377
1591888130728,-0.47207,-0.624712,0.619247,-5.0480986,-2.997655,-3.6282573
1591888130742,-0.484345,-0.618897,0.61385,-1.8953276,-0.71575165,0.27664137
1591888130773,-0.506123,-0.608222,0.60121,-0.3742013,2.1933384,1.4244374
1591888130799,-0.521387,-0.600712,0.589631,0.5406697,3.85715,2.1477587
1591888130822,-0.547973,-0.584993,0.568417,0.49950457,6.798749,5.081255
1591888130840,-0.566973,-0.56888,0.555395,0.73300767,8.782738,6.673999
1591888130860,-0.587234,-0.544856,0.545439,1.1454875,10.250968,7.29504
1591888130879,-0.607614,-0.520556,0.530483,2.1412988,10.00787,7.6623125
1591888130899,-0.625479,-0.494689,0.516753,3.5207007,8.97148,6.868207
1591888130922,-0.638116,-0.470633,0.506157,4.5964518,8.600107,4.3460283
1591888130949,-0.65182,-0.444413,0.48884,4.205678,8.284022,3.0322123
1591888130964,-0.657456,-0.437659,0.480607,3.687592,8.337946,3.196566
1591888130994,-0.68328,-0.413011,0.449664,3.708949,8.980196,3.224976
1591888131021,-0.712099,-0.383343,0.42859,6.019494,7.900457,-2.614951
1591888131038,-0.721642,-0.376186,0.42454,7.5390096,5.169693,-8.484394
1591888131061,-0.747586,-0.372174,0.394492,4.633089,-4.207922,7.520508
1591888131079,-0.748733,-0.356929,0.393598,-0.34409928,-14.912245,5.466234
1591888131099,-0.747533,-0.339319,0.400727,-11.156866,-26.672577,-6.0936747
1591888131121,-0.737538,-0.339418,0.422831,-7.9935884,-15.094141,-5.9716673
1591888131140,-0.728613,-0.334338,0.448789,-3.3276656,-4.7142973,-4.2555227
1591888131160,-0.725247,-0.335483,0.450895,-9.455352,-3.7186499,0.05942726
1591888131183,-0.728106,-0.330871,0.437099,-9.355069,-3.7229137,-0.26412964
1591888131206,-0.740015,-0.30586,0.406304,-2.7266397,-2.4822016,0.68583965
1591888131226,-0.744866,-0.295487,0.393659,-0.8985574,-1.6895819,2.2969673
1591888131252,-0.757359,-0.261082,0.35154,1.3813819,1.1737385,4.930372
1591888131277,-0.757581,-0.241706,0.332749,2.397612,1.9860239,4.149719
1591888131305,-0.747376,-0.23031,0.325757,6.007321,2.883441,-0.70317245
1591888131329,-0.739736,-0.236578,0.315821,3.9134333,3.789888,-0.21736956
1591888131351,-0.741414,-0.23626,0.298145,0.98856217,4.669985,1.154855
1591888131375,-0.741431,-0.230466,0.28116,-1.5566541,5.376149,1.0592142
1591888131401,-0.73794,-0.214392,0.259725,-3.1964893,7.37778,0.31008828
1591888131419,-0.738027,-0.198119,0.242726,-3.3051586,7.8459625,0.32220733
1591888131440,-0.739486,-0.18143,0.221631,-2.664438,8.491831,1.26979
1591888131464,-0.743035,-0.160551,0.194131,-1.4074202,8.177103,3.16991
1591888131485,-0.746258,-0.135083,0.159135,0.40314615,15.747383,-1.2196499
1591888131505,-0.750606,-0.101493,0.120632,-2.1542397,1.7065468,9.425818
1591888131528,-0.735819,-0.059718,0.104075,3.6926837,-8.657436,5.3358674
1591888131551,-0.71891,-0.047491,0.099578,2.8526278,-16.739819,-3.6647832
1591888131579,-0.710846,-0.05178,0.098377,0.61357856,-13.690748,-6.6742883
1591888131606,-0.725447,-0.037917,0.098323,8.820603,-2.433734,1.3168564
1591888131624,-0.730464,-0.040227,0.097834,8.796759,-2.4408617,1.4636571
