@ HyperIMU - ianovir
@ Date:Thu May 21 15:07:17 GMT+02:00 2020, Sampling Rate:20ms
@ chris dancing, Ed Sheeran - Shape of You

timestamp,accelerometer_lsm6ds3_c.x,accelerometer_lsm6ds3_c.y,accelerometer_lsm6ds3_c.z,als_B.x,als_B.y,als_B.z,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1590066444099,-1.7139037,-7.1718984,5.3100805,0.0,0.0,2.0,-1.6284,2.6218,6.3447,-0.246968,-0.706399,0.632281
1590066444118,-1.0012361,-10.230329,-4.1052227,0.0,0.0,2.0,-0.55689996,0.5962,-0.055499997,-0.256175,-0.712419,0.621045
1590066444139,-1.0950791,-13.768709,-3.7415435,0.0,0.0,2.0,-1.0256,-3.6741,-3.108,-0.26517,-0.7223,0.60673
1590066444161,1.4840603,-14.350903,3.0581808,0.0,0.0,2.0,0.92389995,-4.8554997,4.8223,-0.272964,-0.732708,0.59344697
1590066444178,2.9160993,-13.774485,-0.04672524,0.0,0.0,2.0,3.2679,-4.2613997,2.9426,-0.283928,-0.731724,0.58829
1590066444201,1.5344247,-14.682289,-2.2884355,0.0,0.0,3.0,2.4865,-5.0888,-0.422,-0.299456,-0.724781,0.584154
1590066444222,1.1386727,-14.450387,-0.62393856,0.0,0.0,3.0,1.8113999,-4.8141,1.4146,-0.309938,-0.721502,0.580872
1590066444243,0.97819424,-14.169776,-0.64157903,0.0,0.0,3.0,1.6064,-4.8889,1.4262999,-0.31597,-0.718947,0.581239
1590066444264,0.5559623,-12.772425,0.21973984,0.0,0.0,3.0,1.4482,-3.8802998,2.1908998,-0.318303,-0.714067,0.586635
1590066444285,-0.19168936,-10.756487,0.47759536,0.0,0.0,3.0,0.9752,-2.1587,2.4772,-0.318855,-0.706849,0.595174
1590066444306,-0.90736413,-9.56202,-0.6457449,0.0,0.0,3.0,0.0897,-0.0046,1.0952,-0.317621,-0.692791,0.611143
1590066444327,-1.7054378,-8.437359,-2.8993113,0.0,0.0,3.0,-0.5898,0.9439,-1.0749999,-0.316603,-0.682603,0.622164
1590066444348,-2.1188972,-7.2735753,-3.6452966,0.0,0.0,3.0,-0.94589996,2.0592,-2.4413,-0.316834,-0.674271,0.631104
